id,accuracy_ceiling,transparency_robustness,data_efficiency,contamination_robustness,cost_efficiency,throughput,explainability,tooling_maturity,calibration_abstention,zero_shot_capability,mean
heuristic_colour_threshold,2,1,5,1,5,5,5,5,1,5,3.5
heuristic_edge_texture,2,2,4,1,5,5,4,5,1,5,3.4
heuristic_specular_stats,3,3,5,2,5,5,5,4,2,5,3.9
heuristic_transmission,2,3,4,1,5,5,4,3,2,5,3.4
polarimetry_vision,4,5,4,2,3,4,3,2,3,4,3.4
svm_rbf_features,3,3,5,2,5,5,4,5,3,1,3.6
rf_extratrees_features,4,3,5,2,5,4,4,5,3,1,3.6
lda_features,3,3,5,2,5,5,5,5,4,1,3.8
gbdt_features,4,3,4,2,5,5,3,5,4,1,3.6
knn_gmm_features,3,3,5,2,5,4,4,4,4,2,3.6
mlp_shallow_features,3,3,3,2,5,5,2,4,3,1,3.1
cnn_small_scratch,3,3,2,3,4,4,3,3,3,1,2.9
cnn_lightweight_research,4,3,3,3,5,5,2,2,3,1,3.1
cnn_resnet18,4,3,4,3,4,4,2,5,3,2,3.4
cnn_resnet50,4,3,4,3,3,3,2,5,3,2,3.2
cnn_densenet121,5,4,4,3,4,3,2,5,3,2,3.5
cnn_vgg16,3,3,2,3,1,1,2,4,2,2,2.3
cnn_inception_xception,4,4,3,3,3,3,2,4,3,2,3.1
cnn_mobilenet_v2,4,3,4,3,5,5,2,5,3,2,3.6
cnn_mobilenet_v3,4,3,4,3,5,5,2,5,3,2,3.6
cnn_mobilenet_v4,4,4,4,3,5,5,2,3,3,2,3.5
cnn_efficientnet_b0_b3,4,4,4,3,4,4,2,5,3,2,3.5
cnn_efficientnetv2,5,4,3,3,3,2,2,5,3,2,3.2
cnn_convnext_tiny,5,4,3,4,3,3,2,4,3,2,3.3
cnn_regnety,4,4,3,4,3,3,2,4,3,2,3.2
vit_b16,4,5,2,3,2,2,3,4,3,3,3.1
deit_small_tiny,4,4,3,3,3,3,4,4,3,3,3.4
swin_maxvit,5,5,2,4,2,2,3,4,3,3,3.3
attention_cnn,5,4,3,4,3,3,3,2,3,1,3.1
vlm_clip_zeroshot,3,3,5,3,3,3,3,5,2,5,3.5
vlm_fewshot_adapter,4,3,5,3,3,3,3,5,4,4,3.7
mllm_zero_shot,3,3,5,2,1,1,4,4,2,5,3.0
openvocab_detect_classify,4,4,4,5,2,2,3,4,3,4,3.5
spectral_nir_ftir,5,5,4,3,2,4,4,3,5,2,3.7
hsi_glass_plastic,5,5,3,4,2,3,3,3,4,2,3.4
multisensor_fusion,5,5,2,5,1,2,3,2,4,1,3.0
thermal_rgb_3d,3,4,3,4,3,3,3,3,3,2,3.1
uncertainty_rejection,4,5,5,4,4,3,5,4,5,3,4.2
