combo,model,n_features,balanced_accuracy,accuracy
all,logreg_l2,142,0.9111111111111111,0.9111111111111111
all,svm_rbf,142,0.9333333333333333,0.9333333333333333
all,extra_trees,142,0.9333333333333333,0.9333333333333333
color,logreg_l2,45,0.8888888888888888,0.8888888888888888
color,svm_rbf,45,0.8444444444444444,0.8444444444444444
color,extra_trees,45,0.8888888888888888,0.8888888888888888
specular,logreg_l2,12,0.6888888888888889,0.6888888888888889
specular,svm_rbf,12,0.7111111111111111,0.7111111111111111
specular,extra_trees,12,0.6777777777777778,0.6777777777777778
texture,logreg_l2,52,0.9444444444444444,0.9444444444444444
texture,svm_rbf,52,0.9333333333333333,0.9333333333333333
texture,extra_trees,52,0.9111111111111111,0.9111111111111111
edge,logreg_l2,23,0.8333333333333333,0.8333333333333334
edge,svm_rbf,23,0.8222222222222222,0.8222222222222222
edge,extra_trees,23,0.8555555555555555,0.8555555555555555
transparency,logreg_l2,10,0.8111111111111111,0.8111111111111111
transparency,svm_rbf,10,0.8333333333333333,0.8333333333333334
transparency,extra_trees,10,0.8666666666666667,0.8666666666666667
all_minus_color,logreg_l2,97,0.9222222222222223,0.9222222222222223
all_minus_color,svm_rbf,97,0.9333333333333333,0.9333333333333333
all_minus_color,extra_trees,97,0.9222222222222223,0.9222222222222223
all_minus_specular,logreg_l2,130,0.9222222222222223,0.9222222222222223
all_minus_specular,svm_rbf,130,0.9333333333333333,0.9333333333333333
all_minus_specular,extra_trees,130,0.9333333333333333,0.9333333333333333
all_minus_texture,logreg_l2,90,0.9,0.9
all_minus_texture,svm_rbf,90,0.9222222222222223,0.9222222222222223
all_minus_texture,extra_trees,90,0.8999999999999999,0.9
all_minus_edge,logreg_l2,119,0.9333333333333333,0.9333333333333333
all_minus_edge,svm_rbf,119,0.9444444444444444,0.9444444444444444
all_minus_edge,extra_trees,119,0.9111111111111111,0.9111111111111111
all_minus_transparency,logreg_l2,132,0.9111111111111112,0.9111111111111111
all_minus_transparency,svm_rbf,132,0.9444444444444444,0.9444444444444444
all_minus_transparency,extra_trees,132,0.9333333333333333,0.9333333333333333
