model,real_trashnet,proxy_synthetic,real_minus_proxy
hist_gbdt,0.8795319709953856,0.9444444444444444,-0.06491247344905882
extra_trees,0.8660184574818721,0.9333333333333333,-0.06731487585146123
svm_rbf,0.8599208965062624,0.9333333333333333,-0.07341243682707099
knn_5,0.8490441661173369,0.9,-0.050955833882663115
random_forest,0.8200395517468688,0.9,-0.0799604482531312
mlp_64_32,0.812623599208965,0.8888888888888888,-0.07626528967992385
logreg_l2,0.7943309162821358,0.9111111111111111,-0.11678019482897528
lda_shrinkage,0.7943309162821358,0.9222222222222223,-0.12789130594008646
svm_linear,0.7875741595253791,0.9111111111111112,-0.12353695158573208
gaussian_nb,0.7631839156229401,0.8666666666666667,-0.10348275104372662
